date,sac,Mean Var
2023-06-15,1.1380150668145954,1.3474860521901078
2023-06-16,1.1299608193966686,1.3390217707412393
2023-06-20,1.1271811361982167,1.3466649522609955
2023-06-21,1.1178558150848685,1.3273270029787725
2023-06-22,1.1215591868154346,1.3280632353349793
2023-06-23,1.1100239397050677,1.3151497251837378
2023-06-26,1.1050606054596244,1.2949612170114893
2023-06-27,1.122410256189519,1.3176864723100339
2023-06-28,1.1212878492383778,1.33502075240425
2023-06-29,1.1207636965709482,1.3443339069552247
2023-06-30,1.1391661606426835,1.36044731278869
2023-07-03,1.1365159792285562,1.370695553340927
2023-07-05,1.1353794669980921,1.3731151694538242
2023-07-06,1.129463436950424,1.3648859911447353
2023-07-07,1.1204830427132064,1.356827023898562
2023-07-10,1.1398011336527492,1.382004494424703
2023-07-11,1.1446663414393092,1.3855481816835702
2023-07-12,1.1546456856012965,1.393581526552742
2023-07-13,1.168175094792428,1.400375758821444
2023-07-14,1.168485884215417,1.415878820158384
2023-07-17,1.1842308557100918,1.43545966150455
2023-07-18,1.1905087872000362,1.4384802797181404
2023-07-19,1.186586009970727,1.4210816826289896
2023-07-20,1.1646492347536708,1.3723543075772624
2023-07-21,1.1634845873744695,1.3722302783739726
2023-07-24,1.1624988778948877,1.371272836076189
2023-07-25,1.1720890452360821,1.382208555441211
2023-07-26,1.1648433264615774,1.382701613611465
2023-07-27,1.1636784839035559,1.349555114495752
2023-07-28,1.1636784839035559,1.3770521830334939
2023-07-31,1.1636784839035559,1.3602305700198258
2023-08-01,1.1631092059147936,1.3530281749023205
2023-08-02,1.1377509521420297,1.3257112065988002
2023-08-03,1.13745995029667,1.3406443232597658
2023-08-04,1.1363224930529543,1.283240226446633
2023-08-07,1.1363224930529543,1.2887588599252997
2023-08-08,1.1363224930529543,1.2579897939571802
2023-08-09,1.1295297512732385,1.250990444935557
2023-08-10,1.1296890830364925,1.265133718204646
2023-08-11,1.1247517762261134,1.2572696443378906
2023-08-14,1.1401652965956433,1.270964581147533
2023-08-15,1.1315139674711925,1.2605887867199994
2023-08-16,1.1229869358549815,1.2373601580286966
2023-08-17,1.104926795574258,1.2072218203635527
2023-08-18,1.108269062358926,1.202323786835315
2023-08-21,1.1298025357290014,1.2259064382711526
2023-08-22,1.1232222313190205,1.225846896380368
2023-08-23,1.1422617741728527,1.2367107037432157
2023-08-24,1.1195140656967861,1.2046280639503943
2023-08-25,1.1300682791624768,1.21305957847854
2023-08-28,1.1371475641780597,1.212777094408336
2023-08-29,1.1606047087093099,1.2500027373179976
2023-08-30,1.1677264221859678,1.2616356952015204
2023-08-31,1.1717559109655125,1.2476072965895728
2023-09-01,1.175464292039941,1.247827006820249
2023-09-05,1.174288831037921,1.256166068674898
2023-09-06,1.1718454883589637,1.2663265089330242
2023-09-07,1.1609179382359656,1.2626539695669479
2023-09-08,1.1587456838414343,1.262925570933967
2023-09-11,1.1630633106410178,1.2907388073024992
2023-09-12,1.1475526812865409,1.2664848192569786
2023-09-13,1.148831715891567,1.271492354524441
2023-09-14,1.1575464213893087,1.271246927576602
2023-09-15,1.1379108972427519,1.2421417744544745
2023-09-18,1.1381058772341879,1.229900919536193
2023-09-19,1.1345411506201895,1.2266632920297404
2023-09-20,1.1256157180401953,1.224181209300719
2023-09-21,1.1021758953520926,1.1909188250206528
2023-09-22,1.1083038160483512,1.1792701406872315
2023-09-25,1.110368116929737,1.1795053264218562
2023-09-26,1.0969016547467383,1.1696595566942454
2023-09-27,1.101845627552715,1.1786815594393696
2023-09-28,1.1111607247054252,1.2017340426591283
2023-09-29,1.11004956694876,1.1976493582787502
2023-10-02,1.111631338375706,1.1969511806877657
2023-10-03,1.0886288084136433,1.172605399754723
2023-10-04,1.1024275832683035,1.1892373152990463
2023-10-05,1.095948404694695,1.1788056017500372
2023-10-06,1.0948524575978098,1.1897738731437162
2023-10-09,1.0983427717240635,1.1942291012129553
2023-10-10,1.1038650509969898,1.2073334181090285
2023-10-11,1.1075294425551603,1.1891932663768088
2023-10-12,1.1040180388495633,1.1757697090686636
2023-10-13,1.102914022435104,1.1640420827354407
2023-10-16,1.1129533900317756,1.187815415189012
2023-10-17,1.1055992309569542,1.1909778408773535
2023-10-18,1.0896983711642447,1.1723097324489813
2023-10-19,1.0824527787036125,1.1407708664119556
2023-10-20,1.0813703290719896,1.131294934080116
2023-10-23,1.0800099422804956,1.115897081881056
2023-10-24,1.0864325148398948,1.1234561221787247
2023-10-25,1.0644958001468254,1.1023356034435676
2023-10-26,1.0634313082928584,1.1037890865772024
